Unnamed: 0,Codigo,Nombre,Apellido,Departamento,Cargo,Sucursal,Sueldo
,145,Gonzalo,Cabión,Marketing,Director,Huancayo,4200
,94,Guillermo,Casas,Comercial,Director,Huancayo,4200
,114,Humberto,Cruz,Marketing,Asistente,Huancayo,2400
,2,Javier,Vasquez,Marketing,Ejecutivo,Huancayo,3000
,125,Jesús,Cabrera,Comercial,Ejecutivo,Huancayo,3700
,107,Liliana,Weber,Comercial,Asistente,Huancayo,2400
,124,Marcelino,Paredes,Comercial,Asistente,Huancayo,2800
,48,María,Carrasco,Comercial,Director,Huancayo,4900
,63,Mauro,Oñate,Marketing,Administrativo,Huancayo,3400
,119,Mercedes,Soza,Comercial,Administrativo,Huancayo,4200
,99,Orlando,Maggi,Comercial,Asistente,Huancayo,2400
,95,Ricardo,Uribe,Administración,Administrativo,Huancayo,2400
,92,Teodoro,Larenas,Comercial,Director,Huancayo,2900
,130,Ximena,Méndez,Administración,Administrativo,Huancayo,3410
,93,Alejandro,Urrea,Marketing,Administrativo,Tacna,3100
,66,Camilo,Espinoza,Administración,Vendedor,Tacna,4100
,87,Camilo,Flores,Marketing,Director,Tacna,4000
,53,Carlos,Contreras,Administración,Director,Tacna,2050
,109,Constanza,Pozo,Marketing,Vendedor,Tacna,3900
,126,Daniel,Astudillo,Comercial,Vendedor,Tacna,4200
,127,Daniela,Rojas,Administración,Director,Tacna,2700
,37,Enrique,Escobar,Marketing,Ejecutivo,Tacna,2450
,30,Felipe,Carrión,Administración,Director,Tacna,2800
,45,Felipe,Bruna,Comercial,Asistente,Tacna,4100
,112,Gabriel,Paredes,Administración,Director,Tacna,3900
,116,Gilberto,Rosas,Marketing,Vendedor,Tacna,3900
,85,Heriberto,Rojas,Administración,Vendedor,Tacna,3700
,146,Hernán,Rojas,Administración,Administrativo,Tacna,6000
,110,Katherine,Sepúlveda,Marketing,Director,Tacna,3410
,96,Lorena,Tapia,Comercial,Ejecutivo,Tacna,5150
,31,Luis,Adasme,Marketing,Administrativo,Tacna,4200
,144,Manuel,Neira,Comercial,Director,Tacna,2800
,118,Mario,Cabal,Marketing,Director,Tacna,2400
,129,Paulina,Muñoz,Administración,Director,Tacna,3180
,7,Pedro,Cabrera,Administración,Ejecutivo,Tacna,3700
,86,Román,Ruiz,Administración,Director,Tacna,4600
,98,Sandra,Mora,Administración,Administrativo,Tacna,3410
,148,Sandra,González,Marketing,Ejecutivo,Tacna,4650
,32,Sebastián,Cabal,Comercial,Asistente,Tacna,3650
,123,Sonia,Contreras,Comercial,Administrativo,Tacna,6000
,33,Susana,Contreras,Marketing,Ejecutivo,Tacna,3300
,50,Valezka,Apablaza,Administración,Asistente,Tacna,2450
,20,Adela,Cabrera,Marketing,Ejecutivo,Cusco,3100
,3,Andrea,Loyola,Comercial,Vendedor,Cusco,3000
,79,Andrea,Tapia,Marketing,Ejecutivo,Cusco,4200
,9,Benjamín,López,Administración,Director,Cusco,2700
,23,Carolina,Gallardo,Marketing,Ejecutivo,Cusco,5150
,40,Danilo,Chávez,Administración,Vendedor,Cusco,2050
,39,Diego,Norero,Comercial,Ejecutivo,Cusco,4010
,21,Eliana,Cruz,Administración,Vendedor,Cusco,4200
,78,Fabián,Mancilla,Comercial,Ejecutivo,Cusco,2800
,149,Fernando,Castro,Marketing,Asistente,Cusco,4100
,82,Guillermo,Díaz,Marketing,Ejecutivo,Cusco,4650
,150,Ignacio,Castillo,Marketing,Asistente,Cusco,3450
,77,Jean Paul,Araya,Comercial,Asistente,Cusco,4100
,80,Jennifer,Navarro,Administración,Vendedor,Cusco,6000
,75,Karim,Tapia,Marketing,Director,Cusco,2800
,81,Lorenzo,Machuca,Comercial,Director,Cusco,4700
,76,Luisa,Bravo,Comercial,Administrativo,Cusco,3400
,43,Marcos,Pacheco,Marketing,Asistente,Cusco,4700
,29,Pablo,Hernández,Marketing,Vendedor,Cusco,4100
,22,Pamela,Vega,Comercial,Asistente,Cusco,2400
,120,Patricio,Tapia,Comercial,Director,Cusco,3000
